"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","school_type","school_has_safe_water","school_has_separate_toilet","school_has_menstrual_hygiene_facility","school_gender_responsive_policy","years_in_programme","enrollment_rate_baseline_pct","enrollment_rate_endline_pct","girls_attendance_days_baseline","girls_attendance_days_endline","dropout_rate_girls_baseline_pct","dropout_rate_girls_endline_pct","learning_score_baseline","learning_score_endline","agency_score_baseline","agency_score_endline","child_marriage_prevalence_baseline_pct","child_marriage_prevalence_endline_pct","gbv_awareness_baseline","gbv_awareness_endline","mhm_knowledge_baseline","mhm_knowledge_endline","participates_in_school_activities","teacher_trained_gender_responsive","teacher_uses_inclusive_methods","parent_education_support","household_distance_to_school_km","economic_barrier_to_schooling","rhcw_households_served","rhcw_mhm_sessions_conducted","satisfaction_score"
"WGE-0478",2024-10-31,"Rangamati","Naniarchar","School Student (Girl)",16,"Female","Chakma","Government Secondary School","No","No","Yes","Yes",2,58,68.8,18,20,31.4,26.1,39,48,4.2,5,22.7,7.8,3,5,"Good","Excellent","Yes","No","Yes","Strongly supports",2.9,"No barrier",61,12,4
"WGE-0479",2024-10-03,"Bandarban","Rowangchhari","Household (Parent/Guardian)",33,"Female","Marma","Government Secondary School","No","Yes","Yes","Yes",1,57.5,77.1,10,14,12.5,8.7,47,48,4.5,5.4,43.7,35.8,2,2,"Poor","Good","No","Yes","Yes","Does not support",4.5,"Yes - minor barrier",69,8,4
"WGE-0480",2024-11-24,"Bandarban","Rowangchhari","Teacher",37,"Male","Chakma","NGO-run School","Yes","Yes","No","Partially",4,64.9,75,14,18,20.3,10.6,15,36,3.8,7.5,49.6,39,1,3,"Moderate","Good","Yes","Yes","Partially","Supports",2.5,"No barrier",75,10,3
"WGE-0481",2024-12-02,"Khagrachari","Dighinala","School Student (Boy)",15,"Male","Tanchangya","Government Primary School","Yes","Yes","No","No",4,83.3,93.1,8,13,40.2,29.7,50,56,3,7.2,18.7,18.4,2,4,"Good","Moderate","Yes","Yes","Yes","Neutral",2.7,"No barrier",10,6,5
"WGE-0482",2024-09-21,"Khagrachari","Dighinala","School Student (Girl)",14,"Female","Chakma","Government Secondary School","Yes","No","No","Partially",4,68.1,72.4,17,21,20.9,13.6,60,75,2.4,3.5,52.7,39,4,5,"Excellent","Excellent","No","No","Partially","Supports",1.8,"Yes - major barrier",69,5,4
"WGE-0483",2024-09-25,"Khagrachari","Dighinala","School Student (Girl)",19,"Female","Khumi","NGO-run School","No","Yes","No","Yes",3,72.4,81.1,22,22,27.3,16,56,54,4.9,5.3,60.3,51.2,1,5,"Good","Good","Yes","Yes","Partially","Strongly supports",3.4,"Yes - minor barrier",49,12,5
"WGE-0484",2024-11-19,"Khagrachari","Khagrachari Sadar","Household (Parent/Guardian)",29,"Female","Bengali","Madrasa","Yes","Yes","No","Yes",3,64.7,71.4,18,21,8,3,37,52,3.4,4.5,43.2,31.9,3,4,"Excellent","Excellent","No","Yes","Partially","Neutral",3.4,"Yes - minor barrier",75,9,4
"WGE-0485",2024-10-19,"Bandarban","Bandarban Sadar","School Student (Boy)",14,"Male","Chakma","NGO-run School","Yes","Yes","Yes","Yes",1,87.4,100,11,13,5.6,0.5,79,80,2.3,2.5,25,20.6,4,5,"Moderate","Good","Yes","Yes","Partially","Neutral",2,"Yes - minor barrier",55,11,5
"WGE-0486",2024-09-17,"Bandarban","Ruma","School Management Committee (SMC)",51,"Female","Chakma","Government Secondary School","Yes","No","Yes","Yes",4,56.5,61.5,17,19,12.2,7,60,64,3.2,6.1,76.3,65.7,5,2,"Good","Excellent","Yes","Yes","No","Supports",3.6,"Yes - minor barrier",42,8,4
"WGE-0487",2024-10-14,"Bandarban","Ruma","School Management Committee (SMC)",40,"Female","Marma","Government Secondary School","Yes","Yes","No","Partially",2,66.4,77.1,12,16,21.4,18.4,62,66,1.6,3.3,41.7,26.4,2,4,"Excellent","Good","No","No","Partially","Supports",2.2,"Yes - major barrier",41,6,4
"WGE-0488",2024-11-30,"Khagrachari","Ramgarh","Household (Parent/Guardian)",35,"Female","Marma","NGO-run School","Yes","Yes","No","Partially",4,71.4,83,19,21,14.8,4.1,41,56,4.6,8.1,22.9,14.1,2,5,"Moderate","Moderate","No","Yes","Yes","Strongly supports",2.9,"Yes - major barrier",60,4,3
"WGE-0489",2024-11-25,"Khagrachari","Khagrachari Sadar","School Management Committee (SMC)",38,"Male","Chakma","Madrasa","Yes","Yes","No","No",3,62.2,72.5,12,15,17.1,7.6,51,59,2.6,3.3,47,32.1,1,3,"Moderate","Moderate","No","No","Yes","Does not support",3.7,"Yes - major barrier",14,7,3
"WGE-0490",2024-09-05,"Bandarban","Ruma","Teacher",42,"Female","Tripura","Government Primary School","Yes","Yes","Yes","Partially",3,60,66.5,19,20,21.7,15.9,80,87,5.4,6.5,63.5,53.6,3,3,"Good","Excellent","Yes","No","Yes","Supports",4.9,"No barrier",67,10,5
"WGE-0491",2024-11-29,"Khagrachari","Panchhari","Household (Parent/Guardian)",41,"Female","Chakma","Community Learning Centre","No","Yes","Yes","Yes",3,69,76,16,19,17.3,11.8,41,52,1.9,2.8,43.3,32.9,2,4,"Moderate","Moderate","No","Yes","No","Strongly supports",1.2,"Yes - major barrier",35,12,3
"WGE-0492",2024-11-05,"Khagrachari","Khagrachari Sadar","School Student (Girl)",14,"Female","Marma","Government Primary School","Yes","No","No","Yes",3,75.1,82.9,15,17,0.2,0,35,47,4.8,7.5,50.9,36.4,1,3,"Good","Poor","No","No","No","Supports",3.1,"No barrier",50,11,3
"WGE-0493",2024-12-05,"Khagrachari","Ramgarh","School Student (Boy)",11,"Male","Chak","Government Secondary School","No","Yes","Yes","Partially",4,75.8,77.6,13,13,17.8,6.8,60,75,4.8,6.8,31.5,21.2,2,3,"Poor","Good","No","Yes","Partially","Strongly supports",3.7,"Yes - minor barrier",56,7,3
"WGE-0494",2024-10-18,"Bandarban","Ruma","School Student (Girl)",14,"Female","Chakma","Government Primary School","Yes","No","No","Yes",1,75.5,83.9,17,19,23.4,16.2,32,35,5.6,6.1,31.2,19.3,5,4,"Moderate","Excellent","Yes","Yes","Yes","Strongly supports",1.2,"No barrier",47,9,3
"WGE-0495",2024-09-06,"Rangamati","Naniarchar","School Student (Girl)",10,"Female","Tanchangya","Government Primary School","No","No","No","Yes",2,61.3,75.1,17,19,23.5,18.1,41,47,5.4,6.2,20.2,13.1,5,4,"Poor","Excellent","No","Yes","Yes","Does not support",3.3,"Yes - minor barrier",34,9,3
"WGE-0496",2024-11-30,"Rangamati","Longadu","School Student (Girl)",16,"Female","Marma","Government Secondary School","No","No","No","No",2,71,75.8,18,21,19.9,14,38,48,2.7,3,50.4,34,2,3,"Excellent","Good","Yes","No","Partially","Supports",4.6,"Yes - major barrier",51,10,4
"WGE-0497",2024-09-17,"Bandarban","Naikhongchhari","School Student (Girl)",18,"Female","Chak","Government Primary School","Yes","Yes","No","No",4,53.5,65.5,16,19,22.2,14.2,46,59,4.4,6.5,27.9,14.8,3,5,"Good","Excellent","No","No","Yes","Neutral",5.1,"No barrier",60,13,4
"WGE-0498",2024-10-30,"Bandarban","Bandarban Sadar","Reproductive Health Community Worker (RHCW)",24,"Female","Chakma","Government Primary School","Yes","Yes","Yes","Partially",2,77,88.3,12,16,21.7,13.6,37,45,5.1,5.9,46.1,38.8,2,4,"Good","Excellent","Yes","No","Yes","Supports",4.2,"No barrier",73,6,4
"WGE-0499",2024-09-27,"Rangamati","Longadu","Teacher",28,"Male","Tripura","Government Secondary School","Yes","No","No","Yes",1,71.4,85,15,17,19.1,15.8,31,32,5.9,6.4,43.5,28.9,4,3,"Poor","Good","Yes","Yes","Partially","Does not support",2.6,"Yes - minor barrier",14,11,3
"WGE-0500",2024-11-29,"Bandarban","Bandarban Sadar","School Student (Girl)",12,"Female","Chakma","Government Secondary School","Yes","Yes","Yes","Partially",2,82.4,91.4,17,20,9.5,3.6,52,53,2.8,4.3,52.1,48.9,3,5,"Poor","Good","No","Yes","Partially","Supports",3.6,"No barrier",27,10,4
"WGE-0501",2024-10-02,"Khagrachari","Khagrachari Sadar","School Student (Girl)",13,"Female","Tanchangya","Government Primary School","No","No","No","Partially",3,85.6,96.9,15,18,25.9,19.7,43,60,3.9,6.1,43,37.2,3,4,"Good","Moderate","Yes","No","Partially","Neutral",1.9,"Yes - minor barrier",72,8,1
"WGE-0502",2024-10-15,"Khagrachari","Khagrachari Sadar","School Student (Boy)",15,"Male","Marma","Government Secondary School","Yes","Yes","No","Yes",1,81.4,100,15,17,10,1.5,33,37,5,5.7,42.3,33.6,1,3,"Good","Excellent","Yes","Yes","Partially","Does not support",3.5,"Yes - minor barrier",60,9,3
"WGE-0503",2024-10-19,"Bandarban","Bandarban Sadar","School Student (Boy)",14,"Male","Tanchangya","Government Secondary School","Yes","Yes","No","Yes",3,75.7,86.6,17,19,17.5,12.2,41,45,4.6,6.3,47.1,40.9,2,5,"Good","Good","Yes","No","No","Does not support",3.7,"No barrier",33,5,5
"WGE-0504",2024-10-05,"Rangamati","Rajasthali","Reproductive Health Community Worker (RHCW)",36,"Female","Tanchangya","NGO-run School","Yes","Yes","No","Yes",3,60.8,64.3,21,22,12.6,4.5,53,63,3,4.6,25.2,21.4,2,4,"Poor","Good","No","Yes","Partially","Supports",2.8,"No barrier",69,8,2
"WGE-0505",2024-11-03,"Rangamati","Naniarchar","Teacher",26,"Female","Chakma","Government Secondary School","Yes","No","Yes","Yes",3,74.8,85.5,14,16,10.1,3.7,42,61,3.6,5.2,39.6,35,1,2,"Good","Moderate","Yes","Yes","Partially","Strongly supports",1.6,"Yes - major barrier",53,13,1
"WGE-0506",2024-11-10,"Rangamati","Kaptai","School Student (Girl)",13,"Female","Marma","Government Primary School","No","Yes","Yes","Yes",1,90.7,100,15,18,14.6,12.4,42,44,4.4,5,24.1,24.4,3,5,"Moderate","Poor","Yes","Yes","Partially","Supports",1.4,"No barrier",73,8,5
"WGE-0507",2024-11-16,"Khagrachari","Khagrachari Sadar","School Management Committee (SMC)",25,"Female","Chakma","Government Primary School","Yes","Yes","No","Partially",1,88.8,99.8,12,15,13.4,9.7,52,55,4.2,4.8,37.6,29.9,1,3,"Good","Good","No","Yes","Yes","Strongly supports",3.3,"No barrier",62,4,3
"WGE-0508",2024-11-11,"Khagrachari","Panchhari","School Student (Girl)",15,"Female","Chakma","NGO-run School","No","Yes","No","No",2,82.8,100,16,18,22.3,17.5,43,55,2.8,4.1,48.4,41.8,1,4,"Poor","Moderate","No","Yes","No","Supports",1.3,"Yes - minor barrier",49,11,3
"WGE-0509",2024-11-27,"Bandarban","Bandarban Sadar","School Management Committee (SMC)",44,"Female","Marma","NGO-run School","Yes","No","No","No",2,79.1,91.7,13,15,14.4,4.5,31,37,3.8,5,49.6,41.3,4,4,"Moderate","Good","No","No","Partially","Strongly supports",1.7,"No barrier",71,8,4
"WGE-0510",2024-11-25,"Khagrachari","Dighinala","Police/Law Enforcement",53,"Female","Pangkhua","Government Primary School","Yes","Yes","No","Yes",3,87.4,97.3,18,22,16.7,14.2,34,43,4.9,7.4,71.5,66.1,3,5,"Poor","Moderate","No","Yes","Yes","Supports",2.5,"Yes - minor barrier",72,6,4
"WGE-0511",2024-10-19,"Rangamati","Baghaichhari","Mother Club Member",19,"Female","Bengali","Government Primary School","Yes","Yes","No","Partially",3,48.3,66.6,16,19,7.2,0,29,45,5,6.2,47.9,38,1,5,"Poor","Good","No","No","Yes","Strongly supports",5.7,"No barrier",50,8,4
"WGE-0512",2024-10-11,"Khagrachari","Ramgarh","School Student (Boy)",15,"Male","Marma","Government Secondary School","No","No","No","Partially",1,78.9,85.7,15,17,29.1,21.1,56,58,5.2,5.7,50,39.7,1,2,"Moderate","Good","Yes","Yes","Partially","Neutral",3.8,"Yes - minor barrier",31,8,4
"WGE-0513",2024-09-05,"Khagrachari","Ramgarh","Household (Parent/Guardian)",31,"Female","Tripura","NGO-run School","No","Yes","Yes","No",1,75.4,89.2,16,18,25.1,17.9,66,73,5.6,6.3,54.6,46.4,4,5,"Moderate","Excellent","Yes","Yes","Partially","Supports",3.6,"Yes - minor barrier",55,7,5
"WGE-0514",2024-09-12,"Khagrachari","Panchhari","Household (Parent/Guardian)",31,"Female","Chakma","Government Primary School","No","No","Yes","No",4,73.3,82.8,12,14,28.6,22.9,36,51,2.5,4.4,32.5,21,4,2,"Moderate","Moderate","Yes","Yes","Partially","Neutral",0.2,"Yes - minor barrier",57,12,4
"WGE-0515",2024-11-08,"Bandarban","Bandarban Sadar","Mother Club Member",39,"Female","Marma","Government Primary School","Yes","Yes","Yes","No",2,65,71.7,17,19,27.4,19.3,61,68,4.8,6.7,44,35.2,2,3,"Good","Excellent","Yes","No","Yes","Supports",4.2,"Yes - minor barrier",60,9,4
"WGE-0516",2024-10-16,"Rangamati","Longadu","School Student (Girl)",14,"Female","Tanchangya","Government Primary School","No","No","No","Yes",3,90,100,18,22,19.1,7.8,52,60,2.9,4,35.2,23,4,4,"Moderate","Moderate","No","Yes","Yes","Neutral",2.7,"No barrier",85,9,4
"WGE-0517",2024-10-10,"Khagrachari","Dighinala","School Student (Girl)",17,"Female","Murung","Government Secondary School","Yes","Yes","Yes","No",4,51.9,59.8,20,19,21.4,16.6,61,65,2.8,4.9,54.9,42.2,1,3,"Good","Excellent","No","Yes","No","Supports",3.7,"Yes - minor barrier",48,8,5
"WGE-0518",2024-09-15,"Bandarban","Naikhongchhari","Household (Parent/Guardian)",63,"Male","Tripura","Government Secondary School","Yes","No","Yes","Partially",1,78,83.2,18,19,11.7,4.9,21,22,4.4,4.7,50.7,38.7,5,5,"Good","Excellent","Yes","Yes","Partially","Supports",0.5,"Yes - minor barrier",84,16,2
"WGE-0519",2024-10-27,"Rangamati","Kaptai","School Student (Girl)",15,"Female","Chakma","Government Primary School","Yes","No","Yes","No",3,72.4,79.9,20,22,16.5,16.3,31,36,3.7,6.3,48.7,38.9,3,4,"Good","Good","No","Yes","No","Strongly supports",3.2,"No barrier",76,9,5
"WGE-0520",2024-11-27,"Khagrachari","Khagrachari Sadar","Household (Parent/Guardian)",51,"Male","Chakma","NGO-run School","Yes","No","No","Partially",1,76.9,82.7,11,12,10.8,0,76,78,5.8,6.4,49.1,43.2,4,5,"Poor","Poor","No","Yes","Yes","Strongly supports",3.5,"Yes - minor barrier",45,7,4
"WGE-0521",2024-11-03,"Khagrachari","Khagrachari Sadar","School Student (Girl)",12,"Female","Tripura","NGO-run School","No","Yes","No","No",2,89.7,92.1,21,21,27.3,17.8,37,46,3.2,4.6,23,15.8,5,4,"Good","Good","No","Yes","Yes","Supports",4.1,"Yes - major barrier",111,7,4
"WGE-0522",2024-09-11,"Bandarban","Lama","Teacher",34,"Female","Tanchangya","Government Primary School","No","Yes","No","Yes",3,68,74.5,11,12,21.2,14,33,44,4,6.6,59.7,49,3,4,"Moderate","Moderate","No","Yes","Yes","Neutral",2.5,"Yes - major barrier",56,9,5
"WGE-0523",2024-09-27,"Bandarban","Ruma","School Student (Boy)",19,"Male","Bawm","Government Primary School","Yes","Yes","No","Partially",1,67.1,75.8,17,21,31.5,19.6,72,76,0.8,1,43.3,37.3,4,3,"Good","Good","Yes","No","Partially","Strongly supports",1.8,"Yes - major barrier",45,11,3
"WGE-0524",2024-11-13,"Bandarban","Naikhongchhari","School Student (Boy)",14,"Male","Marma","NGO-run School","No","No","Yes","Partially",4,77.5,89,19,20,17.4,12.6,24,29,4.4,6,36.4,27.8,4,3,"Good","Excellent","No","Yes","Partially","Supports",4.8,"No barrier",54,3,4
"WGE-0525",2024-09-23,"Rangamati","Baghaichhari","Teacher",37,"Female","Chakma","NGO-run School","No","Yes","No","Yes",3,61.4,69.2,19,21,18,13.1,29,46,1.6,3.6,11,5.7,1,3,"Poor","Good","Yes","No","Partially","Does not support",1.8,"No barrier",74,11,4
"WGE-0526",2024-10-20,"Bandarban","Bandarban Sadar","Household (Parent/Guardian)",31,"Female","Tanchangya","NGO-run School","Yes","No","Yes","Partially",1,62.2,69.8,14,17,20.1,11.3,26,31,2.4,2.9,45.8,29.3,3,3,"Moderate","Excellent","Yes","Yes","Yes","Supports",7.9,"Yes - minor barrier",12,5,4
"WGE-0527",2024-09-07,"Khagrachari","Panchhari","Mother Club Member",47,"Female","Murung","NGO-run School","No","No","Yes","Partially",3,98.8,100,12,16,6.7,0,31,42,2,3,24.2,13.7,2,3,"Excellent","Excellent","No","Yes","No","Neutral",4.7,"No barrier",19,9,5
"WGE-0528",2024-09-30,"Rangamati","Baghaichhari","Household (Parent/Guardian)",45,"Male","Bengali","NGO-run School","Yes","No","No","No",4,74,95.6,16,17,13.7,8.3,61,83,0,0.9,37.1,29.8,5,2,"Good","Good","Yes","Yes","Yes","Supports",5.6,"No barrier",20,7,4
"WGE-0529",2024-09-23,"Khagrachari","Dighinala","Mother Club Member",49,"Female","Bawm","Government Secondary School","No","Yes","No","Partially",4,78.3,83.5,8,9,11.5,6.9,50,65,0.2,2.5,61.4,42.5,2,3,"Good","Good","Yes","No","Yes","Neutral",1.5,"No barrier",26,5,5
"WGE-0530",2024-09-29,"Khagrachari","Khagrachari Sadar","Household (Parent/Guardian)",49,"Female","Tripura","Government Primary School","Yes","No","Yes","No",3,60.7,74.8,15,15,0.1,0,57,81,3.3,6.3,47.8,45.3,1,2,"Moderate","Moderate","Yes","Yes","Yes","Strongly supports",5.2,"Yes - minor barrier",60,8,5
"WGE-0531",2024-11-15,"Rangamati","Rajasthali","School Student (Boy)",15,"Male","Marma","Government Primary School","Yes","Yes","No","Partially",4,65.3,69.5,20,22,16.5,16.6,37,43,3.8,8,43.4,30.2,3,5,"Good","Good","Yes","Yes","No","Strongly supports",2.5,"No barrier",34,12,5
"WGE-0532",2024-11-05,"Rangamati","Rajasthali","Household (Parent/Guardian)",42,"Male","Pangkhua","Government Primary School","No","No","Yes","Yes",2,62.1,69.1,13,15,23.2,17.4,42,52,4.8,6.3,28.3,19.6,5,5,"Poor","Excellent","Yes","Yes","No","Neutral",1.1,"No barrier",66,6,4
"WGE-0533",2024-11-13,"Khagrachari","Panchhari","Household (Parent/Guardian)",64,"Male","Bengali","Government Primary School","No","Yes","No","No",1,63.3,77.3,11,13,25.3,20,59,63,1.6,2.5,16.4,6.8,3,2,"Good","Excellent","No","No","Yes","Neutral",2.9,"No barrier",40,8,2
"WGE-0534",2024-10-15,"Rangamati","Naniarchar","School Student (Girl)",11,"Female","Bengali","Madrasa","Yes","Yes","No","Partially",4,63.5,70.8,16,20,19.1,12.6,58,76,4.4,6.9,58.4,52,3,4,"Good","Good","No","No","Yes","Does not support",2.7,"No barrier",43,9,1
"WGE-0535",2024-11-10,"Bandarban","Rowangchhari","School Student (Boy)",14,"Male","Tanchangya","NGO-run School","No","No","No","Yes",3,69.9,75,19,20,12.9,8.2,51,62,3.3,5.7,63.4,54.1,1,4,"Moderate","Poor","No","No","No","Strongly supports",3.9,"Yes - major barrier",63,10,2
"WGE-0536",2024-10-17,"Rangamati","Rajasthali","Household (Parent/Guardian)",49,"Male","Marma","Community Learning Centre","Yes","No","Yes","Yes",3,59.6,66.2,17,22,24.3,15.4,21,25,1.1,2.6,46.5,40.9,4,4,"Poor","Excellent","Yes","Yes","No","Supports",3.6,"Yes - minor barrier",51,13,5
"WGE-0537",2024-11-03,"Bandarban","Bandarban Sadar","Teacher",43,"Female","Chakma","Government Primary School","No","Yes","No","No",3,79.2,92.8,15,21,27.5,25.1,56,75,3.5,5.6,49.3,41.5,4,3,"Good","Good","Yes","Yes","Partially","Does not support",8,"Yes - minor barrier",62,12,3
"WGE-0538",2024-09-15,"Khagrachari","Mahalchhari","Teacher",34,"Female","Chakma","Government Primary School","Yes","No","Yes","Partially",3,70.5,83.8,18,20,12.5,11.1,39,48,3.2,3.5,39.7,33,5,3,"Poor","Moderate","No","No","Yes","Supports",2.1,"No barrier",60,11,3
"WGE-0539",2024-09-22,"Rangamati","Rajasthali","Mother Club Member",32,"Female","Tripura","Government Secondary School","Yes","Yes","No","Partially",3,77.2,83.4,16,17,39.5,34.1,43,47,3.4,4.6,26.2,10.1,5,5,"Poor","Moderate","No","Yes","Partially","Neutral",1.6,"No barrier",10,10,4
"WGE-0540",2024-09-15,"Rangamati","Baghaichhari","Reproductive Health Community Worker (RHCW)",31,"Female","Chak","NGO-run School","No","No","No","Yes",2,80.6,97,16,19,30.1,25,37,44,3.9,5.8,22,11,3,3,"Good","Good","Yes","Yes","Partially","Supports",3.7,"Yes - major barrier",66,9,3
"WGE-0541",2024-10-04,"Khagrachari","Khagrachari Sadar","School Student (Girl)",13,"Female","Tripura","NGO-run School","Yes","Yes","Yes","Partially",3,89.5,100,13,16,16.2,10.6,58,72,4.9,6.4,30.3,15.6,1,4,"Good","Good","Yes","Yes","Partially","Strongly supports",3.8,"Yes - minor barrier",21,9,4
"WGE-0542",2024-09-15,"Bandarban","Rowangchhari","School Student (Boy)",14,"Male","Chak","Government Primary School","Yes","Yes","No","Yes",2,72.4,80.5,14,18,15.7,8.6,44,53,4.9,5.7,45.9,43,3,5,"Moderate","Excellent","No","No","Yes","Neutral",2.5,"No barrier",41,13,4
"WGE-0543",2024-09-05,"Khagrachari","Panchhari","School Student (Girl)",15,"Female","Marma","NGO-run School","No","Yes","No","Partially",2,79.6,94.8,15,18,26.3,19.9,54,59,2,4.1,40.9,36.1,3,4,"Moderate","Poor","Yes","No","Yes","Strongly supports",1.4,"Yes - major barrier",93,9,5
"WGE-0544",2024-09-19,"Bandarban","Bandarban Sadar","School Management Committee (SMC)",29,"Female","Chakma","Government Secondary School","Yes","No","Yes","No",1,77.5,80.7,15,15,17.8,8.6,61,64,3.8,4.2,68.6,64.3,2,5,"Moderate","Good","Yes","Yes","Yes","Does not support",4,"No barrier",43,7,1
"WGE-0545",2024-12-01,"Khagrachari","Mahalchhari","School Student (Girl)",11,"Female","Chakma","Government Secondary School","Yes","No","Yes","No",3,71.7,86.4,8,10,25.4,17.2,49,65,3.7,6.9,46.2,39.1,3,3,"Excellent","Excellent","Yes","No","Yes","Supports",2.6,"Yes - minor barrier",42,10,5
"WGE-0546",2024-09-17,"Rangamati","Longadu","School Student (Girl)",11,"Female","Bawm","Government Secondary School","No","No","Yes","Yes",3,78.9,88.2,15,15,20,10.6,56,66,5.3,8.1,35.2,25.2,1,5,"Moderate","Excellent","Yes","Yes","Yes","Supports",1.6,"Yes - major barrier",77,7,3
"WGE-0547",2024-09-03,"Bandarban","Ruma","School Student (Girl)",10,"Female","Chakma","Government Primary School","Yes","No","No","Yes",2,72.1,88.2,18,21,14.6,9.6,31,31,2.2,3.6,55.8,49.7,3,4,"Poor","Excellent","No","Yes","Partially","Supports",0.2,"No barrier",49,5,4
"WGE-0548",2024-10-01,"Rangamati","Kaptai","Household (Parent/Guardian)",37,"Female","Murung","Government Primary School","Yes","No","No","Partially",1,64.1,77.3,15,17,8.3,6.8,43,44,1.4,2.1,44.8,36,2,4,"Poor","Moderate","Yes","No","Partially","Strongly supports",3,"No barrier",25,5,3
"WGE-0549",2024-11-14,"Bandarban","Bandarban Sadar","School Student (Girl)",14,"Female","Chak","Government Primary School","Yes","No","No","No",2,72.5,82.2,16,17,22,12.8,42,49,2.8,3.4,54.8,48.6,4,3,"Moderate","Good","Yes","Yes","Yes","Strongly supports",3.6,"Yes - minor barrier",63,8,2
"WGE-0550",2024-11-21,"Rangamati","Baghaichhari","Reproductive Health Community Worker (RHCW)",20,"Female","Bengali","Government Secondary School","Yes","Yes","No","No",1,79.7,89.6,22,22,20.2,15.5,53,59,3.4,4,62.9,52.4,1,2,"Excellent","Excellent","Yes","Yes","Partially","Neutral",1.5,"Yes - major barrier",28,11,3
"WGE-0551",2024-11-05,"Bandarban","Naikhongchhari","Household (Parent/Guardian)",37,"Female","Tripura","NGO-run School","Yes","Yes","No","No",4,67.1,75.2,15,19,21.8,15,45,59,3.4,7.4,60.1,46.6,4,4,"Moderate","Good","Yes","Yes","Yes","Does not support",3.6,"Yes - minor barrier",45,9,4
"WGE-0552",2024-09-11,"Rangamati","Naniarchar","Household (Parent/Guardian)",36,"Male","Tanchangya","Government Primary School","Yes","Yes","No","Partially",3,86.1,94,19,22,28.1,24.2,47,54,4.3,7,50.4,39.6,1,5,"Poor","Good","No","Yes","Yes","Strongly supports",2.4,"Yes - major barrier",47,8,3
"WGE-0553",2024-09-27,"Khagrachari","Mahalchhari","School Student (Boy)",14,"Male","Tripura","Government Primary School","No","Yes","No","Partially",2,88.4,96.4,19,19,7.7,0,59,61,2.4,3.5,20.9,11.8,4,4,"Good","Good","Yes","Yes","Yes","Supports",2.8,"Yes - major barrier",36,7,3
"WGE-0554",2024-11-17,"Rangamati","Baghaichhari","Household (Parent/Guardian)",39,"Male","Chakma","Government Primary School","Yes","No","Yes","Partially",4,68.3,77.5,12,14,22.4,17.7,49,58,3.9,8,41,29.2,3,2,"Good","Good","Yes","Yes","No","Supports",1.2,"No barrier",78,8,4
"WGE-0555",2024-10-17,"Rangamati","Longadu","School Student (Girl)",15,"Female","Tanchangya","Government Secondary School","Yes","No","No","Partially",1,70.7,79.9,12,16,18,12.9,70,75,1.2,1.7,20.5,14,5,1,"Moderate","Good","Yes","No","Partially","Strongly supports",6.5,"Yes - minor barrier",60,8,4
"WGE-0556",2024-09-18,"Khagrachari","Dighinala","School Management Committee (SMC)",39,"Female","Bengali","Government Primary School","Yes","Yes","Yes","Partially",2,69,70.6,17,20,21.5,18.4,38,45,6.1,7.1,47.8,43.6,2,3,"Good","Excellent","Yes","Yes","Yes","Supports",1,"Yes - minor barrier",81,9,5
"WGE-0557",2024-10-26,"Rangamati","Rajasthali","Household (Parent/Guardian)",56,"Female","Murung","Government Primary School","No","Yes","No","No",4,76.2,83.1,12,16,35.9,33.1,62,65,6,6.9,41.3,41.1,4,5,"Excellent","Good","Yes","Yes","Partially","Supports",4.3,"No barrier",48,8,3
"WGE-0558",2024-11-03,"Bandarban","Naikhongchhari","School Student (Boy)",14,"Male","Tripura","Government Primary School","Yes","Yes","Yes","No",2,78,94.4,22,22,17.1,13.3,27,33,5.1,6.4,69.1,60.3,3,1,"Poor","Moderate","No","Yes","Yes","Strongly supports",2.4,"Yes - major barrier",55,8,3
"WGE-0559",2024-10-20,"Rangamati","Baghaichhari","School Student (Girl)",15,"Female","Marma","Government Primary School","No","No","No","No",2,63.8,75.5,16,19,9.2,4.4,53,58,5.4,6.8,85,76.1,5,5,"Poor","Excellent","No","Yes","Partially","Supports",0.6,"Yes - minor barrier",61,8,3
"WGE-0560",2024-12-05,"Rangamati","Naniarchar","School Student (Boy)",16,"Male","Bengali","NGO-run School","No","Yes","No","Partially",2,76.9,87.5,14,17,16.2,9,69,70,4,5.8,58.7,51.7,4,4,"Good","Excellent","No","Yes","Yes","Strongly supports",3.7,"No barrier",74,11,4
"WGE-0561",2024-10-02,"Bandarban","Lama","School Student (Girl)",17,"Female","Marma","Government Secondary School","No","No","Yes","Partially",1,68.5,70.4,22,22,24.7,14.4,50,53,4.3,4.7,54.4,49.4,3,5,"Good","Excellent","Yes","No","Yes","Strongly supports",3.1,"Yes - minor barrier",26,10,4
"WGE-0562",2024-10-04,"Bandarban","Naikhongchhari","School Student (Boy)",14,"Male","Chakma","Government Primary School","Yes","Yes","No","Yes",3,95.2,100,14,16,12,2.7,37,44,2.5,4.2,49.7,43,3,4,"Good","Excellent","No","No","No","Supports",1.7,"Yes - major barrier",27,6,4
"WGE-0563",2024-10-25,"Bandarban","Naikhongchhari","Household (Parent/Guardian)",25,"Male","Chakma","Government Secondary School","Yes","No","No","No",4,83.1,87.4,14,17,14.8,8.8,66,86,4.7,7.3,40.5,29.6,3,5,"Good","Good","No","No","Partially","Supports",3.1,"Yes - minor barrier",39,11,5
